slice_feature, value, precision, recall, fbeta
workclass, Private, 0.7376294591484465, 0.6403596403596403, 0.6855614973262032
workclass, State-gov, 0.7424242424242424, 0.6712328767123288, 0.7050359712230216
workclass, Self-emp-not-inc, 0.7064220183486238, 0.49044585987261147, 0.5789473684210525
workclass, Self-emp-inc, 0.7807017543859649, 0.7542372881355932, 0.7672413793103448
workclass, Federal-gov, 0.7971014492753623, 0.7857142857142857, 0.7913669064748201
workclass, Local-gov, 0.7575757575757576, 0.6818181818181818, 0.7177033492822965
workclass, ?, 0.6538461538461539, 0.40476190476190477, 0.5
workclass, Without-pay, 1.0, 1.0, 1.0
education, Some-college, 0.6857142857142857, 0.51985559566787, 0.5913757700205339
education, HS-grad, 0.6593886462882096, 0.43768115942028984, 0.5261324041811848
education, Bachelors, 0.7522935779816514, 0.7288888888888889, 0.7404063205417607
education, Masters, 0.8271028037383178, 0.855072463768116, 0.8408551068883611
education, Assoc-acdm, 0.7, 0.5957446808510638, 0.6436781609195402
education, 7th-8th, 0.0, 0.0, 1.0
education, 11th, 1.0, 0.2727272727272727, 0.42857142857142855
education, Assoc-voc, 0.6470588235294118, 0.5238095238095238, 0.5789473684210527
education, Prof-school, 0.8181818181818182, 0.9642857142857143, 0.8852459016393442
education, 9th, 1.0, 0.3333333333333333, 0.5
education, 5th-6th, 1.0, 0.5, 0.6666666666666666
education, 10th, 0.4, 0.16666666666666666, 0.23529411764705882
education, Doctorate, 0.864406779661017, 0.8947368421052632, 0.8793103448275862
education, 12th, 1.0, 0.4, 0.5714285714285715
education, 1st-4th, 1.0, 1.0, 1.0
education, Preschool, 1.0, 1.0, 1.0
marital-status, Divorced, 0.76, 0.36893203883495146, 0.4967320261437908
marital-status, Married-civ-spouse, 0.7346278317152104, 0.6899696048632219, 0.7115987460815046
marital-status, Never-married, 0.8301886792452831, 0.42718446601941745, 0.5641025641025641
marital-status, Separated, 1.0, 0.42105263157894735, 0.5925925925925926
marital-status, Widowed, 1.0, 0.15789473684210525, 0.2727272727272727
marital-status, Married-spouse-absent, 1.0, 0.25, 0.4
marital-status, Married-AF-spouse, 1.0, 0.0, 0.0
occupation, Adm-clerical, 0.6338028169014085, 0.46875, 0.5389221556886228
occupation, Exec-managerial, 0.7952127659574468, 0.7531486146095718, 0.7736093143596379
occupation, Machine-op-inspct, 0.59375, 0.40425531914893614, 0.48101265822784806
occupation, Craft-repair, 0.6567164179104478, 0.4861878453038674, 0.5587301587301587
occupation, Prof-specialty, 0.7879581151832461, 0.7678571428571429, 0.7777777777777778
occupation, Sales, 0.7272727272727273, 0.6666666666666666, 0.6956521739130435
occupation, Handlers-cleaners, 0.5714285714285714, 0.3333333333333333, 0.4210526315789474
occupation, Other-service, 1.0, 0.19230769230769232, 0.32258064516129037
occupation, Protective-serv, 0.7352941176470589, 0.5952380952380952, 0.6578947368421053
occupation, Priv-house-serv, 1.0, 1.0, 1.0
occupation, Transport-moving, 0.625, 0.46875, 0.5357142857142857
occupation, ?, 0.6538461538461539, 0.40476190476190477, 0.5
occupation, Farming-fishing, 0.5454545454545454, 0.21428571428571427, 0.30769230769230765
occupation, Tech-support, 0.7142857142857143, 0.6862745098039216, 0.7000000000000001
occupation, Armed-Forces, 1.0, 1.0, 1.0
relationship, Not-in-family, 0.7959183673469388, 0.4148936170212766, 0.5454545454545454
relationship, Wife, 0.7132352941176471, 0.6783216783216783, 0.6953405017921146
relationship, Husband, 0.7370336669699727, 0.6923076923076923, 0.7139709122961658
relationship, Unmarried, 0.9230769230769231, 0.26666666666666666, 0.4137931034482759
relationship, Own-child, 1.0, 0.17647058823529413, 0.3
relationship, Other-relative, 1.0, 0.375, 0.5454545454545454
race, White, 0.7404393816110659, 0.6372549019607843, 0.6849830636055702
